Country,State/Province,Coal,Nat. Gas,Geo,Hydro,Solar,Wind,Nuclear,Bio,Other ,Petro,Coal %,Nat. Gas%,Geo %,Hydro %,Solar %,Wind %,Nuclear %,Bio %,Other %,Petro %,
China,,980,465,0,24,65,11,27,0,81,0,63.63,3.16,0,15.34,3.91,7.26,4.82,0,1.75,0,
France,,980,465,0,24,65,11,27,0,81,0,1.11,6.2,0,10.5,2.67,6.76,69.33,0,2.05,0,
Germany,,980,465,0,24,65,11,27,0,81,0,27.82,15.23,0,3.27,8.38,20.14,11.8,0,8.71,0,
Japan,,980,465,0,24,65,11,27,0,81,0,30.65,32.07,0,9.25,9.26,0.96,6.32,0,6.69,0,
Malaysia,,980,465,0,24,65,11,27,0,81,0,43.6,35.74,0,18.25,0.85,0,0,0,0.92,0,
Netherlands,,980,465,0,24,65,11,27,0,81,0,14.62,46.29,0,0.07,9.4,14.71,3.15,0,0,0,
Singapore,,980,465,0,24,65,11,27,0,81,0,0,90.16,0,0,0.71,0,0,0,1.36,0,
South Korea,,980,465,0,24,65,11,27,0,81,0,34.6,29.19,0,1.07,4.12,0.55,26.1,0,3.97,0,
Taiwan,,980,465,0,24,65,11,27,0,81,0,44.93,36.35,0,2.35,3.32,0.75,9.61,0,0.67,0,
United States,,,,,,,,,,,,,,,,,,,,,,
,Alabama,980,465,27,24,65,11,27,54,0,0,16,40.5,0,8.8,0.3,0,32,2.5,0,0,
,Alaska,980,465,27,24,65,11,27,54,0,0,12.6,37.6,0,30.5,0,2.8,0,0.6,0,0,
,Arizona,980,465,27,24,65,11,27,54,0,0,12.5,46.4,0,5.9,5.5,0.6,28,0.2,0,0,
,Arkansas,980,465,27,24,65,11,27,54,0,0,29.1,31.8,0,8.1,0.5,0,28.5,1.9,0,0,
,California,980,465,27,24,65,11,27,54,0,0,0.1,48.1,6.1,11,15.7,7,8.4,3.4,0,0,
,Colorado,980,465,27,24,65,11,27,54,0,0,35.9,34,0,3.3,2.8,23.5,0,0.4,0,0,
,Connecticut,980,465,27,24,65,11,27,54,0,0,0,57,0,1,0.6,0,38.2,3.3,0,0,
,Delaware,980,465,27,24,65,11,27,54,0,0,2,95.2,0,0,1.2,0.1,0,1.2,0,0,
,District of Columbia,980,465,27,24,65,11,27,54,0,0,0,64.8,0,0,8.8,0,0,26.4,0,0,
,Florida,980,465,27,24,65,11,27,54,0,0,6.7,75.3,0,0.1,2.6,0,11.8,2.8,0,0,
,Georgia,980,465,27,24,65,11,27,54,0,0,11.7,49.1,0,3.1,3.3,0,27.6,5,0,0,
,Idaho,980,465,27,24,65,11,27,54,0,0,0.1,20.7,0.5,58,2.9,14.2,0,2.9,0,0,
,Illinois,980,465,27,24,65,11,27,54,0,0,17.9,14,0,0.1,0.1,9.9,57.8,0.4,0,0,
,Indiana,980,465,27,24,65,11,27,54,0,0,53,37.6,0,0.3,0.5,7.3,0,1.1,0,0,
,Iowa,980,465,27,24,65,11,27,54,0,0,23.8,11.7,0,1.5,0,57.5,4.9,0.3,0,0,
,Kansas,980,465,27,24,65,11,27,54,0,0,31.2,5.6,0,1.5,0.1,43.3,19.5,0.1,0,0,
,Kentucky,980,465,27,24,65,11,27,54,0,0,68.8,23.1,0,7.3,0.1,0,0,0.7,0,0,
,Louisiana,980,465,27,24,65,11,27,54,0,0,3.8,72.2,0,1.4,0.1,0,16.6,2.5,0,0,
,Maine,980,465,27,24,65,11,27,54,0,0,0.6,16.9,0,34.4,0.3,24,0,23.4,0,0,
,Maryland,980,465,27,24,65,11,27,54,0,0,9.3,38.9,0,4.7,1.7,1.5,41,1.8,0,0,
,Massechusetts,980,465,27,24,65,11,27,54,0,0,9.3,38.9,0,4.7,1.7,1.5,41,1.8,0,0,
,Michigan,980,465,27,24,65,11,27,54,0,0,26.7,33.8,0,0.9,0.2,6.4,28.9,2.2,0,0,
,Minnesota,980,465,27,24,65,11,27,54,0,0,26.9,19.7,0,2,3.1,21.6,26,2.7,0,0,
,Mississippi,980,465,27,24,65,11,27,54,0,0,7,80.4,0,0,0.7,0,9.8,2.1,0,0,
,Missouri,980,465,27,24,65,11,27,54,0,0,70.5,10.9,0,3,0.1,4.7,10.5,0.2,0,0,
,Montana,980,465,27,24,65,11,27,54,0,0,36,1.7,0,46.46,0.1,12.6,0,1.1,0,0,
,Nebraska,980,465,27,24,65,11,27,54,0,0,51.2,3.9,0,4,0.2,23.6,16.8,0.2,0,0,
,Nevada,980,465,27,24,65,11,27,54,0,0,4.8,66.1,10.2,4,13,0.8,0,0.2,0,0,
,New Hampshire,980,465,27,24,65,11,27,54,0,0,0.8,21.8,0,8.9,0,3.1,59,6.1,0,0,
,New Jersey,980,465,27,24,65,11,27,54,0,0,1.5,50.3,0,0.2,2.6,0,43.5,2.2,0,0,
,New Mexico,980,465,27,24,65,11,27,54,0,0,37.2,35.7,0.2,0.5,4.9,20.9,0,0.1,0,0,
,New York,980,465,27,24,65,11,27,54,0,0,0.1,40.1,0,23.6,0.8,3.8,29.1,2.3,0,,
,North Carolina,980,465,27,24,65,11,27,54,0,0,16.8,33.7,0,5.3,7.2,0.4,34.1,2.4,0,0,
,Noth Dakota,980,465,27,24,65,11,27,54,0,0,57.3,3.6,0,8.1,0,30.8,0,0.1,0,0,
,Ohio,980,465,27,24,65,11,27,54,0,0,37.2,44,0,0.3,0.2,1.9,15,0.6,0,0,
,Oklahoma,980,465,27,24,65,11,27,54,0,0,7.1,52.4,0,4.6,0.1,35.4,0,0.4,0,0,
,Oregon,980,465,27,24,65,11,27,54,0,0,2.5,28.9,0.2,51.9,1.7,13.2,0,1.6,0,,
,Pennsylvania,980,465,27,24,65,11,27,54,0,0,10.3,52.3,0,1.3,0.1,1.7,33.1,1.2,0,,
,Rhode Island,980,465,27,24,65,11,27,54,0,0,0,91.8,0,0,2.6,2.9,0,2.6,0,,
,South Carolina,980,465,27,24,65,11,27,54,0,0,12.7,24.8,0,2.5,1.8,0,55.8,2.8,0,,
,South Dakota,980,465,27,24,65,11,27,54,0,0,,9.7,6.9,0,50.5,0,32.9,0,0,0,0
,Tennessee,980,465,27,24,65,11,27,54,0,0,18.4,20.2,0,12.4,0.4,0.1,47.3,1,0,0,
,Texas,980,465,27,24,65,11,27,54,0,0,16.6,52.7,0,0.4,1.7,19.6,8.7,0.4,0,0,
,Utah,980,465,27,24,65,11,27,54,0,0,61.5,25.4,1,2.6,6.7,2.2,0,0.6,0,0,
,Vermont,980,465,27,24,65,11,27,54,0,0,0,0.1,0,57.8,8,16.2,0,17.8,0,0,
,Virginia,980,465,27,24,65,11,27,54,0,0,3.7,60.7,0,0.5,1.4,0,29.5,3.9,0,0,
,Washington,980,465,27,24,65,11,27,54,0,0,4.5,12.4,0,66.1,0,7.3,8.3,1.4,0,0,
,West Virginia,980,465,27,24,65,11,27,54,0,0,88.4,5,0,3.1,0,3.3,0,0,0,0,
,Wisconsin,980,465,27,24,65,11,27,54,0,0,39,34.8,0,4.7,0.2,2.9,16,2.2,0,0,
,Wyoming,980,465,27,24,65,11,27,54,0,0,80,4.3,0,2.6,0.4,12.3,0,0.2,0,0,
